,point,Building,Equipment_Type,Equipment_Number,Sensor_Type
47368,SOCS.AHU.AHU10.Supply Air Temp,SOCS,AHU,AHU10,Supply Air Temp
47369,SOCS.AHU.AHU10.Supply Air Temp Sp,SOCS,AHU,AHU10,Supply Air Temp Sp
47370,SOCS.AHU.AHU10.Supply Fan VFD Speed,SOCS,AHU,AHU10,Supply Fan VFD Speed
47371,SOCS.AHU.AHU11.Cooling Valve Output,SOCS,AHU,AHU11,Cooling Valve Output
47372,SOCS.AHU.AHU11.Economizer Mode,SOCS,AHU,AHU11,Economizer Mode
47373,SOCS.AHU.AHU11.Heating Valve Output,SOCS,AHU,AHU11,Heating Valve Output
47374,SOCS.AHU.AHU11.Mixed Air Damper Minimum,SOCS,AHU,AHU11,Mixed Air Damper Minimum
47375,SOCS.AHU.AHU11.Mixed Air Damper Output,SOCS,AHU,AHU11,Mixed Air Damper Output
47376,SOCS.AHU.AHU11.Mixed Air Temp,SOCS,AHU,AHU11,Mixed Air Temp
47377,SOCS.AHU.AHU11.Outside Air Temp Virt,SOCS,AHU,AHU11,Outside Air Temp Virt
47378,SOCS.AHU.AHU11.Return Air Fan Start/Stop,SOCS,AHU,AHU11,Return Air Fan Start/Stop
47379,SOCS.AHU.AHU11.Return Air Temp,SOCS,AHU,AHU11,Return Air Temp
47380,SOCS.AHU.AHU11.Return Fan VFD Speed,SOCS,AHU,AHU11,Return Fan VFD Speed
47381,SOCS.AHU.AHU11.Supply Air Fan Start/Stop,SOCS,AHU,AHU11,Supply Air Fan Start/Stop
47382,SOCS.AHU.AHU11.Supply Air Pressure,SOCS,AHU,AHU11,Supply Air Pressure
47383,SOCS.AHU.AHU11.Supply Air Pressure Sp,SOCS,AHU,AHU11,Supply Air Pressure Sp
47384,SOCS.AHU.AHU11.Supply Air Temp,SOCS,AHU,AHU11,Supply Air Temp
47385,SOCS.AHU.AHU11.Supply Air Temp Sp,SOCS,AHU,AHU11,Supply Air Temp Sp
47386,SOCS.AHU.AHU11.Supply Fan VFD Speed,SOCS,AHU,AHU11,Supply Fan VFD Speed
48929,SSC.AHU.AHU01.Cooling Valve Output,SSC,AHU,AHU01,Cooling Valve Output
48932,SSC.AHU.AHU01.Heating Valve Output,SSC,AHU,AHU01,Heating Valve Output
48933,SSC.AHU.AHU01.Outside Air Temp,SSC,AHU,AHU01,Outside Air Temp
48934,SSC.AHU.AHU01.Return Air Temp,SSC,AHU,AHU01,Return Air Temp
48935,SSC.AHU.AHU01.Supply Air Fan Start/Stop,SSC,AHU,AHU01,Supply Air Fan Start/Stop
48936,SSC.AHU.AHU01.Supply Air Fan VFD Power KW,SSC,AHU,AHU01,Supply Air Fan VFD Power KW
48937,SSC.AHU.AHU01.Supply Air Pressure,SSC,AHU,AHU01,Supply Air Pressure
48938,SSC.AHU.AHU01.Supply Air Pressure Sp,SSC,AHU,AHU01,Supply Air Pressure Sp
48939,SSC.AHU.AHU01.Supply Air Temp,SSC,AHU,AHU01,Supply Air Temp
48940,SSC.AHU.AHU01.Supply Air Temp Sp,SSC,AHU,AHU01,Supply Air Temp Sp
48941,SSC.AHU.AHU01.Supply Fan VFD Frequency,SSC,AHU,AHU01,Supply Fan VFD Frequency
48942,SSC.AHU.AHU02.Cooling Valve Output,SSC,AHU,AHU02,Cooling Valve Output
48943,SSC.AHU.AHU02.Economizer Mode,SSC,AHU,AHU02,Economizer Mode
48944,SSC.AHU.AHU02.Heating Valve Output,SSC,AHU,AHU02,Heating Valve Output
48945,SSC.AHU.AHU02.Mixed Air Damper Output,SSC,AHU,AHU02,Mixed Air Damper Output
48946,SSC.AHU.AHU02.Supply Air Fan Start/Stop,SSC,AHU,AHU02,Supply Air Fan Start/Stop
48947,SSC.AHU.AHU02.Supply Air Temp,SSC,AHU,AHU02,Supply Air Temp
48948,SSC.AHU.AHU02.Supply Air Temp Sp,SSC,AHU,AHU02,Supply Air Temp Sp
49618,STOR.AHU.AHU_00.CCV,STOR,AHU,AHU_00,CCV
49619,STOR.AHU.AHU_00.HCV,STOR,AHU,AHU_00,HCV
49620,STOR.AHU.AHU_00.SYSTEM ENABLE,STOR,AHU,AHU_00,SYSTEM ENABLE
49621,STOR.AHU.AHU_01.CCV,STOR,AHU,AHU_01,CCV
49622,STOR.AHU.AHU_01.HCV,STOR,AHU,AHU_01,HCV
49623,STOR.AHU.AHU_01.SYSTEM ENABLE,STOR,AHU,AHU_01,SYSTEM ENABLE
49624,STOR.AHU.AHU_02.CCV,STOR,AHU,AHU_02,CCV
49625,STOR.AHU.AHU_02.HCV,STOR,AHU,AHU_02,HCV
49626,STOR.AHU.AHU_02.SYSTEM ENABLE,STOR,AHU,AHU_02,SYSTEM ENABLE
49627,STOR.AHU.AHU_03.CCV,STOR,AHU,AHU_03,CCV
49628,STOR.AHU.AHU_03.HCV,STOR,AHU,AHU_03,HCV
49629,STOR.AHU.AHU_03.SYSTEM ENABLE,STOR,AHU,AHU_03,SYSTEM ENABLE
49630,STOR.AHU.AHU_04.CCV,STOR,AHU,AHU_04,CCV
49631,STOR.AHU.AHU_04.HCV,STOR,AHU,AHU_04,HCV
49632,STOR.AHU.AHU_04.SYSTEM ENABLE,STOR,AHU,AHU_04,SYSTEM ENABLE
49633,STOR.AHU.AHU_05.CCV,STOR,AHU,AHU_05,CCV
49634,STOR.AHU.AHU_05.HCV,STOR,AHU,AHU_05,HCV
49635,STOR.AHU.AHU_05.SYSTEM ENABLE,STOR,AHU,AHU_05,SYSTEM ENABLE
49636,STOR.AHU.AHU_06.CCV,STOR,AHU,AHU_06,CCV
49637,STOR.AHU.AHU_06.HCV,STOR,AHU,AHU_06,HCV
49638,STOR.AHU.AHU_06.SYSTEM ENABLE,STOR,AHU,AHU_06,SYSTEM ENABLE
49639,STOR.AHU.AHU00.Cooling Valve Output,STOR,AHU,AHU00,Cooling Valve Output
49640,STOR.AHU.AHU00.Heating Valve Output,STOR,AHU,AHU00,Heating Valve Output
49641,STOR.AHU.AHU00.Outside Air Temp Virt,STOR,AHU,AHU00,Outside Air Temp Virt
49642,STOR.AHU.AHU00.Supply Air Fan Start/Stop,STOR,AHU,AHU00,Supply Air Fan Start/Stop
49643,STOR.AHU.AHU00.Supply Air Fan VFD Power,STOR,AHU,AHU00,Supply Air Fan VFD Power
49644,STOR.AHU.AHU00.Supply Air Temp,STOR,AHU,AHU00,Supply Air Temp
49645,STOR.AHU.AHU00.Supply Air Temp Sp,STOR,AHU,AHU00,Supply Air Temp Sp
49646,STOR.AHU.AHU00.Supply Fan SPEED,STOR,AHU,AHU00,Supply Fan SPEED
49647,STOR.AHU.AHU00.Supply Fan STATUS,STOR,AHU,AHU00,Supply Fan STATUS
49648,STOR.AHU.AHU00.Supply Fan VFD Frequency,STOR,AHU,AHU00,Supply Fan VFD Frequency
49649,STOR.AHU.AHU00.Supply Fan VFD Output,STOR,AHU,AHU00,Supply Fan VFD Output
49650,STOR.AHU.AHU00.Supply Fan VFD Speed,STOR,AHU,AHU00,Supply Fan VFD Speed
49651,STOR.AHU.AHU01.Cooling Valve Output,STOR,AHU,AHU01,Cooling Valve Output
49652,STOR.AHU.AHU01.Heating Valve Output,STOR,AHU,AHU01,Heating Valve Output
49653,STOR.AHU.AHU01.Outside Air Temp Virt,STOR,AHU,AHU01,Outside Air Temp Virt
49654,STOR.AHU.AHU01.Supply Air Fan Start/Stop,STOR,AHU,AHU01,Supply Air Fan Start/Stop
49655,STOR.AHU.AHU01.Supply Air Fan VFD Power,STOR,AHU,AHU01,Supply Air Fan VFD Power
49656,STOR.AHU.AHU01.Supply Air Temp,STOR,AHU,AHU01,Supply Air Temp
49657,STOR.AHU.AHU01.Supply Air Temp Sp,STOR,AHU,AHU01,Supply Air Temp Sp
49658,STOR.AHU.AHU01.Supply Fan SPEED,STOR,AHU,AHU01,Supply Fan SPEED
49659,STOR.AHU.AHU01.Supply Fan STATUS,STOR,AHU,AHU01,Supply Fan STATUS
49660,STOR.AHU.AHU01.Supply Fan VFD Frequency,STOR,AHU,AHU01,Supply Fan VFD Frequency
49661,STOR.AHU.AHU01.Supply Fan VFD Output,STOR,AHU,AHU01,Supply Fan VFD Output
49662,STOR.AHU.AHU01.Supply Fan VFD Speed,STOR,AHU,AHU01,Supply Fan VFD Speed
49663,STOR.AHU.AHU02.Cooling Valve Output,STOR,AHU,AHU02,Cooling Valve Output
49664,STOR.AHU.AHU02.Heating Valve Output,STOR,AHU,AHU02,Heating Valve Output
49665,STOR.AHU.AHU02.Outside Air Temp,STOR,AHU,AHU02,Outside Air Temp
49666,STOR.AHU.AHU02.Outside Air Temp Virt,STOR,AHU,AHU02,Outside Air Temp Virt
49667,STOR.AHU.AHU02.Supply Air Fan Start/Stop,STOR,AHU,AHU02,Supply Air Fan Start/Stop
49668,STOR.AHU.AHU02.Supply Air Fan VFD Power,STOR,AHU,AHU02,Supply Air Fan VFD Power
49669,STOR.AHU.AHU02.Supply Air Temp,STOR,AHU,AHU02,Supply Air Temp
49670,STOR.AHU.AHU02.Supply Air Temp Sp,STOR,AHU,AHU02,Supply Air Temp Sp
49671,STOR.AHU.AHU02.Supply Fan SPEED,STOR,AHU,AHU02,Supply Fan SPEED
49672,STOR.AHU.AHU02.Supply Fan STATUS,STOR,AHU,AHU02,Supply Fan STATUS
49673,STOR.AHU.AHU02.Supply Fan VFD Frequency,STOR,AHU,AHU02,Supply Fan VFD Frequency
49674,STOR.AHU.AHU02.Supply Fan VFD Output,STOR,AHU,AHU02,Supply Fan VFD Output
49675,STOR.AHU.AHU02.Supply Fan VFD Speed,STOR,AHU,AHU02,Supply Fan VFD Speed
49676,STOR.AHU.AHU03.Cooling Valve Output,STOR,AHU,AHU03,Cooling Valve Output
49677,STOR.AHU.AHU03.Heating Valve Output,STOR,AHU,AHU03,Heating Valve Output
49678,STOR.AHU.AHU03.Outside Air Temp Virt,STOR,AHU,AHU03,Outside Air Temp Virt
49679,STOR.AHU.AHU03.Supply Air Fan Start/Stop,STOR,AHU,AHU03,Supply Air Fan Start/Stop
49680,STOR.AHU.AHU03.Supply Air Fan VFD Power,STOR,AHU,AHU03,Supply Air Fan VFD Power
49681,STOR.AHU.AHU03.Supply Air Temp,STOR,AHU,AHU03,Supply Air Temp
49682,STOR.AHU.AHU03.Supply Air Temp Sp,STOR,AHU,AHU03,Supply Air Temp Sp
49683,STOR.AHU.AHU03.Supply Fan SPEED,STOR,AHU,AHU03,Supply Fan SPEED
49684,STOR.AHU.AHU03.Supply Fan STATUS,STOR,AHU,AHU03,Supply Fan STATUS
49685,STOR.AHU.AHU03.Supply Fan VFD Frequency,STOR,AHU,AHU03,Supply Fan VFD Frequency
49686,STOR.AHU.AHU03.Supply Fan VFD Output,STOR,AHU,AHU03,Supply Fan VFD Output
49687,STOR.AHU.AHU03.Supply Fan VFD Speed,STOR,AHU,AHU03,Supply Fan VFD Speed
49688,STOR.AHU.AHU04.Cooling Valve Output,STOR,AHU,AHU04,Cooling Valve Output
49689,STOR.AHU.AHU04.Heating Valve Output,STOR,AHU,AHU04,Heating Valve Output
49690,STOR.AHU.AHU04.Outside Air Temp Virt,STOR,AHU,AHU04,Outside Air Temp Virt
49691,STOR.AHU.AHU04.Supply Air Fan Start/Stop,STOR,AHU,AHU04,Supply Air Fan Start/Stop
49692,STOR.AHU.AHU04.Supply Air Fan VFD Power,STOR,AHU,AHU04,Supply Air Fan VFD Power
49693,STOR.AHU.AHU04.Supply Air Temp,STOR,AHU,AHU04,Supply Air Temp
49694,STOR.AHU.AHU04.Supply Air Temp Sp,STOR,AHU,AHU04,Supply Air Temp Sp
49695,STOR.AHU.AHU04.Supply Fan SPEED,STOR,AHU,AHU04,Supply Fan SPEED
49696,STOR.AHU.AHU04.Supply Fan STATUS,STOR,AHU,AHU04,Supply Fan STATUS
49697,STOR.AHU.AHU04.Supply Fan VFD Frequency,STOR,AHU,AHU04,Supply Fan VFD Frequency
49698,STOR.AHU.AHU04.Supply Fan VFD Output,STOR,AHU,AHU04,Supply Fan VFD Output
49699,STOR.AHU.AHU04.Supply Fan VFD Speed,STOR,AHU,AHU04,Supply Fan VFD Speed
49700,STOR.AHU.AHU05.Cooling Valve Output,STOR,AHU,AHU05,Cooling Valve Output
49701,STOR.AHU.AHU05.Heating Valve Output,STOR,AHU,AHU05,Heating Valve Output
49702,STOR.AHU.AHU05.Outside Air Temp Virt,STOR,AHU,AHU05,Outside Air Temp Virt
49703,STOR.AHU.AHU05.Supply Air Fan Start/Stop,STOR,AHU,AHU05,Supply Air Fan Start/Stop
49704,STOR.AHU.AHU05.Supply Air Fan VFD Power,STOR,AHU,AHU05,Supply Air Fan VFD Power
49705,STOR.AHU.AHU05.Supply Air Temp,STOR,AHU,AHU05,Supply Air Temp
49706,STOR.AHU.AHU05.Supply Air Temp Sp,STOR,AHU,AHU05,Supply Air Temp Sp
49707,STOR.AHU.AHU05.Supply Fan SPEED,STOR,AHU,AHU05,Supply Fan SPEED
49708,STOR.AHU.AHU05.Supply Fan STATUS,STOR,AHU,AHU05,Supply Fan STATUS
49709,STOR.AHU.AHU05.Supply Fan VFD Frequency,STOR,AHU,AHU05,Supply Fan VFD Frequency
49710,STOR.AHU.AHU05.Supply Fan VFD Output,STOR,AHU,AHU05,Supply Fan VFD Output
49711,STOR.AHU.AHU05.Supply Fan VFD Speed,STOR,AHU,AHU05,Supply Fan VFD Speed
49712,STOR.AHU.AHU06.Cooling Valve Output,STOR,AHU,AHU06,Cooling Valve Output
49713,STOR.AHU.AHU06.Heating Valve Output,STOR,AHU,AHU06,Heating Valve Output
49714,STOR.AHU.AHU06.Outside Air Temp Virt,STOR,AHU,AHU06,Outside Air Temp Virt
49715,STOR.AHU.AHU06.Supply Air Fan Start/Stop,STOR,AHU,AHU06,Supply Air Fan Start/Stop
49716,STOR.AHU.AHU06.Supply Air Fan VFD Power,STOR,AHU,AHU06,Supply Air Fan VFD Power
49717,STOR.AHU.AHU06.Supply Air Temp,STOR,AHU,AHU06,Supply Air Temp
49718,STOR.AHU.AHU06.Supply Air Temp Sp,STOR,AHU,AHU06,Supply Air Temp Sp
49719,STOR.AHU.AHU06.Supply Fan SPEED,STOR,AHU,AHU06,Supply Fan SPEED
49720,STOR.AHU.AHU06.Supply Fan STATUS,STOR,AHU,AHU06,Supply Fan STATUS
49721,STOR.AHU.AHU06.Supply Fan VFD Frequency,STOR,AHU,AHU06,Supply Fan VFD Frequency
49722,STOR.AHU.AHU06.Supply Fan VFD Output,STOR,AHU,AHU06,Supply Fan VFD Output
49723,STOR.AHU.AHU06.Supply Fan VFD Speed,STOR,AHU,AHU06,Supply Fan VFD Speed
50669,SURGE3.AHU.AHU01.Cooling Valve Output,SURGE3,AHU,AHU01,Cooling Valve Output
50670,SURGE3.AHU.AHU01.Economizer Mode,SURGE3,AHU,AHU01,Economizer Mode
50671,SURGE3.AHU.AHU01.Heating Valve Output,SURGE3,AHU,AHU01,Heating Valve Output
50672,SURGE3.AHU.AHU01.Mixed Air Damper Output,SURGE3,AHU,AHU01,Mixed Air Damper Output
50673,SURGE3.AHU.AHU01.Mixed Air Temp,SURGE3,AHU,AHU01,Mixed Air Temp
50675,SURGE3.AHU.AHU01.Outside Air Temp,SURGE3,AHU,AHU01,Outside Air Temp
50676,SURGE3.AHU.AHU01.RAT1,SURGE3,AHU,AHU01,RAT1
50677,SURGE3.AHU.AHU01.RAT2,SURGE3,AHU,AHU01,RAT2
50678,SURGE3.AHU.AHU01.Supply Air Fan Start/Stop,SURGE3,AHU,AHU01,Supply Air Fan Start/Stop
50679,SURGE3.AHU.AHU01.Supply Air Pressure,SURGE3,AHU,AHU01,Supply Air Pressure
50680,SURGE3.AHU.AHU01.Supply Air Pressure Sp,SURGE3,AHU,AHU01,Supply Air Pressure Sp
50682,SURGE3.AHU.AHU03.Cooling Valve Output,SURGE3,AHU,AHU03,Cooling Valve Output
50683,SURGE3.AHU.AHU03.Heating Valve Output,SURGE3,AHU,AHU03,Heating Valve Output
50684,SURGE3.AHU.AHU03.Outside Air Temp,SURGE3,AHU,AHU03,Outside Air Temp
50685,SURGE3.AHU.AHU03.Supply Air Fan Start/Stop,SURGE3,AHU,AHU03,Supply Air Fan Start/Stop
50686,SURGE3.AHU.AHU03.Supply Air Temp,SURGE3,AHU,AHU03,Supply Air Temp
50687,SURGE3.AHU.AHU04.Cooling Valve Output,SURGE3,AHU,AHU04,Cooling Valve Output
50688,SURGE3.AHU.AHU04.Heating Valve Output,SURGE3,AHU,AHU04,Heating Valve Output
50689,SURGE3.AHU.AHU04.Outside Air Temp,SURGE3,AHU,AHU04,Outside Air Temp
50690,SURGE3.AHU.AHU04.Supply Air Fan Start/Stop,SURGE3,AHU,AHU04,Supply Air Fan Start/Stop
50691,SURGE3.AHU.AHU04.Supply Air Temp,SURGE3,AHU,AHU04,Supply Air Temp
50692,SURGE3.AHU.MULTI.Cooling Valve Output,SURGE3,AHU,MULTI,Cooling Valve Output
50693,SURGE3.AHU.MULTI.Supply Air Fan Start/Stop,SURGE3,AHU,MULTI,Supply Air Fan Start/Stop
51034,TAPS.AHU.AHU01.Cooling Valve Output,TAPS,AHU,AHU01,Cooling Valve Output
51035,TAPS.AHU.AHU01.Heating Valve Output,TAPS,AHU,AHU01,Heating Valve Output
51036,TAPS.AHU.AHU01.Mixed Air Temp,TAPS,AHU,AHU01,Mixed Air Temp
51037,TAPS.AHU.AHU01.Outside Air Temp,TAPS,AHU,AHU01,Outside Air Temp
51038,TAPS.AHU.AHU01.Return Air Fan VFD Power,TAPS,AHU,AHU01,Return Air Fan VFD Power
51039,TAPS.AHU.AHU01.Return Air Temp,TAPS,AHU,AHU01,Return Air Temp
51040,TAPS.AHU.AHU01.Supply Air Fan Start/Stop,TAPS,AHU,AHU01,Supply Air Fan Start/Stop
51041,TAPS.AHU.AHU01.Supply Air Fan VFD Power,TAPS,AHU,AHU01,Supply Air Fan VFD Power
51042,TAPS.AHU.AHU01.Supply Air Pressure,TAPS,AHU,AHU01,Supply Air Pressure
51043,TAPS.AHU.AHU01.Supply Air Temp,TAPS,AHU,AHU01,Supply Air Temp
51044,TAPS.AHU.AHU01.Supply Air Temp Sp,TAPS,AHU,AHU01,Supply Air Temp Sp
51045,TAPS.AHU.AHU02.Cooling Valve Output,TAPS,AHU,AHU02,Cooling Valve Output
51046,TAPS.AHU.AHU02.Heating Valve Output,TAPS,AHU,AHU02,Heating Valve Output
51047,TAPS.AHU.AHU02.Mixed Air Temp,TAPS,AHU,AHU02,Mixed Air Temp
51048,TAPS.AHU.AHU02.Outside Air Temp,TAPS,AHU,AHU02,Outside Air Temp
51049,TAPS.AHU.AHU02.Return Air Fan VFD Power,TAPS,AHU,AHU02,Return Air Fan VFD Power
51050,TAPS.AHU.AHU02.Return Air Temp,TAPS,AHU,AHU02,Return Air Temp
51051,TAPS.AHU.AHU02.Supply Air Fan Start/Stop,TAPS,AHU,AHU02,Supply Air Fan Start/Stop
51052,TAPS.AHU.AHU02.Supply Air Fan VFD Power,TAPS,AHU,AHU02,Supply Air Fan VFD Power
51053,TAPS.AHU.AHU02.Supply Air Pressure,TAPS,AHU,AHU02,Supply Air Pressure
51054,TAPS.AHU.AHU02.Supply Air Temp,TAPS,AHU,AHU02,Supply Air Temp
51055,TAPS.AHU.AHU02.Supply Air Temp Sp,TAPS,AHU,AHU02,Supply Air Temp Sp
51056,TAPS.AHU.AHU03.Cooling Valve Output,TAPS,AHU,AHU03,Cooling Valve Output
51057,TAPS.AHU.AHU03.Heating Valve Output,TAPS,AHU,AHU03,Heating Valve Output
51058,TAPS.AHU.AHU03.Mixed Air Temp,TAPS,AHU,AHU03,Mixed Air Temp
51059,TAPS.AHU.AHU03.Outside Air Temp,TAPS,AHU,AHU03,Outside Air Temp
51060,TAPS.AHU.AHU03.Return Air Fan VFD Power,TAPS,AHU,AHU03,Return Air Fan VFD Power
51061,TAPS.AHU.AHU03.Return Air Temp,TAPS,AHU,AHU03,Return Air Temp
51062,TAPS.AHU.AHU03.Supply Air Fan Start/Stop,TAPS,AHU,AHU03,Supply Air Fan Start/Stop
51063,TAPS.AHU.AHU03.Supply Air Fan VFD Power,TAPS,AHU,AHU03,Supply Air Fan VFD Power
51064,TAPS.AHU.AHU03.Supply Air Pressure,TAPS,AHU,AHU03,Supply Air Pressure
51065,TAPS.AHU.AHU03.Supply Air Temp,TAPS,AHU,AHU03,Supply Air Temp
51066,TAPS.AHU.AHU03.Supply Air Temp Sp,TAPS,AHU,AHU03,Supply Air Temp Sp
52094,TER1.AHU.AHU01.Outside Air Temp,TER1,AHU,AHU01,Outside Air Temp
52095,TER1.AHU.AHU01.Supply Air Fan Start/Stop,TER1,AHU,AHU01,Supply Air Fan Start/Stop
52096,TER1.AHU.AHU01.Supply Air Temp,TER1,AHU,AHU01,Supply Air Temp
52097,TER1.AHU.AHU01.Supply Air Temp Sp,TER1,AHU,AHU01,Supply Air Temp Sp
52098,TER1.AHU.AHU02.Outside Air Temp,TER1,AHU,AHU02,Outside Air Temp
52099,TER1.AHU.AHU02.Supply Air Fan Start/Stop,TER1,AHU,AHU02,Supply Air Fan Start/Stop
52100,TER1.AHU.AHU02.Supply Air Temp,TER1,AHU,AHU02,Supply Air Temp
52101,TER1.AHU.AHU02.Supply Air Temp Sp,TER1,AHU,AHU02,Supply Air Temp Sp
52102,TER1.AHU.AHU03.Economizer Mode,TER1,AHU,AHU03,Economizer Mode
52103,TER1.AHU.AHU03.Mixed Air Damper Output,TER1,AHU,AHU03,Mixed Air Damper Output
52104,TER1.AHU.AHU03.Outside Air Temp,TER1,AHU,AHU03,Outside Air Temp
52105,TER1.AHU.AHU03.Supply Air Fan Start/Stop,TER1,AHU,AHU03,Supply Air Fan Start/Stop
52106,TER1.AHU.AHU03.Supply Air Temp,TER1,AHU,AHU03,Supply Air Temp
52107,TER1.AHU.AHU03.Supply Air Temp Sp,TER1,AHU,AHU03,Supply Air Temp Sp
52490,TER2.AHU.AHU04.Outside Air Temp,TER2,AHU,AHU04,Outside Air Temp
52491,TER2.AHU.AHU04.Supply Air Fan Start/Stop,TER2,AHU,AHU04,Supply Air Fan Start/Stop
52492,TER2.AHU.AHU04.Supply Air Temp,TER2,AHU,AHU04,Supply Air Temp
52493,TER2.AHU.AHU04.Supply Air Temp Sp,TER2,AHU,AHU04,Supply Air Temp Sp
52494,TER2.AHU.AHU05.Outside Air Temp,TER2,AHU,AHU05,Outside Air Temp
52495,TER2.AHU.AHU05.Supply Air Fan Start/Stop,TER2,AHU,AHU05,Supply Air Fan Start/Stop
52496,TER2.AHU.AHU05.Supply Air Temp,TER2,AHU,AHU05,Supply Air Temp
52497,TER2.AHU.AHU05.Supply Air Temp Sp,TER2,AHU,AHU05,Supply Air Temp Sp
52498,TER2.AHU.AHU06.Economizer Mode,TER2,AHU,AHU06,Economizer Mode
52499,TER2.AHU.AHU06.Mixed Air Damper Output,TER2,AHU,AHU06,Mixed Air Damper Output
52500,TER2.AHU.AHU06.Outside Air Temp,TER2,AHU,AHU06,Outside Air Temp
52501,TER2.AHU.AHU06.Supply Air Fan Start/Stop,TER2,AHU,AHU06,Supply Air Fan Start/Stop
52502,TER2.AHU.AHU06.Supply Air Temp,TER2,AHU,AHU06,Supply Air Temp
52503,TER2.AHU.AHU06.Supply Air Temp Sp,TER2,AHU,AHU06,Supply Air Temp Sp
52845,TERC.AHU.AHU_SF01.Cooling Valve Output,TERC,AHU,AHU_SF01,Cooling Valve Output
52846,TERC.AHU.AHU_SF02.Cooling Valve Output,TERC,AHU,AHU_SF02,Cooling Valve Output
52847,TERC.AHU.AHU_SF03.Cooling Valve Output,TERC,AHU,AHU_SF03,Cooling Valve Output
52848,TERC.AHU.AHU_SF04.Cooling Valve Output,TERC,AHU,AHU_SF04,Cooling Valve Output
52849,TERC.AHU.AHU01.Cooling Valve Output,TERC,AHU,AHU01,Cooling Valve Output
52850,TERC.AHU.AHU01.Economizer Mode,TERC,AHU,AHU01,Economizer Mode
52851,TERC.AHU.AHU01.Heating Valve Output,TERC,AHU,AHU01,Heating Valve Output
52852,TERC.AHU.AHU01.Mixed Air Temp,TERC,AHU,AHU01,Mixed Air Temp
52853,TERC.AHU.AHU01.Outside Air Temp,TERC,AHU,AHU01,Outside Air Temp
52854,TERC.AHU.AHU01.Return Air Fan Start/Stop,TERC,AHU,AHU01,Return Air Fan Start/Stop
52855,TERC.AHU.AHU01.Return Air Temp,TERC,AHU,AHU01,Return Air Temp
52856,TERC.AHU.AHU01.Return Fan VFD Speed,TERC,AHU,AHU01,Return Fan VFD Speed
52857,TERC.AHU.AHU01.Supply Air Fan Start/Stop,TERC,AHU,AHU01,Supply Air Fan Start/Stop
52858,TERC.AHU.AHU01.Supply Air Pressure,TERC,AHU,AHU01,Supply Air Pressure
52859,TERC.AHU.AHU01.Supply Air Temp,TERC,AHU,AHU01,Supply Air Temp
52860,TERC.AHU.AHU01.Supply Air Temp Sp,TERC,AHU,AHU01,Supply Air Temp Sp
52861,TERC.AHU.AHU01.Supply Fan VFD Speed,TERC,AHU,AHU01,Supply Fan VFD Speed
52862,TERC.AHU.AHU02.Cooling Valve Output,TERC,AHU,AHU02,Cooling Valve Output
52863,TERC.AHU.AHU02.Economizer Mode,TERC,AHU,AHU02,Economizer Mode
52864,TERC.AHU.AHU02.Heating Valve Output,TERC,AHU,AHU02,Heating Valve Output
52865,TERC.AHU.AHU02.Mixed Air Temp,TERC,AHU,AHU02,Mixed Air Temp
52866,TERC.AHU.AHU02.Outside Air Temp,TERC,AHU,AHU02,Outside Air Temp
52867,TERC.AHU.AHU02.Return Air Temp,TERC,AHU,AHU02,Return Air Temp
52868,TERC.AHU.AHU02.Supply Air Fan Start/Stop,TERC,AHU,AHU02,Supply Air Fan Start/Stop
52869,TERC.AHU.AHU02.Supply Air Temp,TERC,AHU,AHU02,Supply Air Temp
52870,TERC.AHU.AHU02.Supply Air Temp Sp,TERC,AHU,AHU02,Supply Air Temp Sp
52871,TERC.AHU.SF01.Supply Air Fan Start/Stop,TERC,AHU,SF01,Supply Air Fan Start/Stop
52872,TERC.AHU.SF02.Supply Air Fan Start/Stop,TERC,AHU,SF02,Supply Air Fan Start/Stop
52873,TERC.AHU.SF03.Supply Air Fan Start/Stop,TERC,AHU,SF03,Supply Air Fan Start/Stop
52874,TERC.AHU.SF04.Supply Air Fan Start/Stop,TERC,AHU,SF04,Supply Air Fan Start/Stop
53836,THUR.AHU.AC01.Return Fan VFD Frequency,THUR,AHU,AC01,Return Fan VFD Frequency
53837,THUR.AHU.AC01.Return Fan VFD Speed,THUR,AHU,AC01,Return Fan VFD Speed
53841,THUR.AHU.AC1.Return Air Fan VFD Power,THUR,AHU,AC1,Return Air Fan VFD Power
53842,THUR.AHU.AC3.Cooling Valve Output,THUR,AHU,AC3,Cooling Valve Output
53843,THUR.AHU.AC4.Cooling Valve Output,THUR,AHU,AC4,Cooling Valve Output
53844,THUR.AHU.AC4.Supply Air Fan Start/Stop,THUR,AHU,AC4,Supply Air Fan Start/Stop
53845,THUR.AHU.AHU_AC01.Supply Fan VFD Frequency,THUR,AHU,AHU_AC01,Supply Fan VFD Frequency
53846,THUR.AHU.AHU_AC01.Supply Fan VFD Speed,THUR,AHU,AHU_AC01,Supply Fan VFD Speed
53847,THUR.AHU.AHU_AC02.Supply Fan VFD Frequency,THUR,AHU,AHU_AC02,Supply Fan VFD Frequency
53848,THUR.AHU.AHU_AC02.Supply Fan VFD Speed,THUR,AHU,AHU_AC02,Supply Fan VFD Speed
53849,THUR.AHU.AHU_AC03.Supply Fan VFD Frequency,THUR,AHU,AHU_AC03,Supply Fan VFD Frequency
53850,THUR.AHU.AHU_AC03.Supply Fan VFD Speed,THUR,AHU,AHU_AC03,Supply Fan VFD Speed
